Mouse.Entrez,MGI.ID,Description
67266,1914516,family with sequence similarity 69 member A [Source:MGI Symbol;Acc:MGI:1914516]
67267,1914517,ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:MGI Symbol;Acc:MGI:1914517]
67268,1914518,myosin light chain 12A regulatory non-sarcomeric [Source:MGI Symbol;Acc:MGI:1914518]
67273,1914523,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10 [Source:MGI Symbol;Acc:MGI:1914523]
58188,1914525,V-set and transmembrane domain containing 2B [Source:MGI Symbol;Acc:MGI:1914525]
67276,1914526,exoribonuclease 1 [Source:MGI Symbol;Acc:MGI:1914526]
67279,1914529,mediator complex subunit 31 [Source:MGI Symbol;Acc:MGI:1914529]
67281,1914531,ribosomal protein L37 [Source:MGI Symbol;Acc:MGI:1914531]
100502825,1914531,ribosomal protein L37 [Source:MGI Symbol;Acc:MGI:1914531]
67282,1914532,coiled-coil domain containing 53 [Source:MGI Symbol;Acc:MGI:1914532]
67283,1914533,solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier) member 19 [Source:MGI Symbol;Acc:MGI:1914533]
67285,1914535,CWC27 spliceosome-associated protein homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914535]
67286,1914536,intraflagellar transport 22 [Source:MGI Symbol;Acc:MGI:1914536]
67287,1914537,poly (ADP-ribose) polymerase family member 6 [Source:MGI Symbol;Acc:MGI:1914537]
67288,1914538,splicing regulatory glutamine/lysine-rich protein 1interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914538]
67290,1914540,RIKEN cDNA 3110040N11 gene [Source:MGI Symbol;Acc:MGI:1914540]
67291,1914541,coiled-coil domain containing 137 [Source:MGI Symbol;Acc:MGI:1914541]
67292,1914542,phosphatidylinositol glycan anchor biosynthesis class C [Source:MGI Symbol;Acc:MGI:1914542]
230233,1914544,inhibitor of kappa light polypeptide enhancer in B cells kinase complex-associated protein [Source:MGI Symbol;Acc:MGI:1914544]
67295,1914545,RAB3C member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914545]
67296,1914546,suppressor of cytokine signaling 4 [Source:MGI Symbol;Acc:MGI:1914546]
67299,1914549,dedicator of cytokinesis 7 [Source:MGI Symbol;Acc:MGI:1914549]
67302,1914552,zinc finger CCCH type containing 13 [Source:MGI Symbol;Acc:MGI:1914552]
67305,1914555,glutathione peroxidase 7 [Source:MGI Symbol;Acc:MGI:1914555]
67306,1914556,zinc finger C2HC-type containing 1A [Source:MGI Symbol;Acc:MGI:1914556]
67307,1914557,phenazine biosynthesis-like protein domain containing 2 [Source:MGI Symbol;Acc:MGI:1914557]
68371,1914557,phenazine biosynthesis-like protein domain containing 2 [Source:MGI Symbol;Acc:MGI:1914557]
67308,1914558,mitochondrial ribosomal protein L46 [Source:MGI Symbol;Acc:MGI:1914558]
67310,1914560,prolactin family8 subfamily a member 9 [Source:MGI Symbol;Acc:MGI:1914560]
67311,1914561,N-acetylneuraminic acid phosphatase [Source:MGI Symbol;Acc:MGI:1914561]
67315,1914565,carcinoembryonic antigen-related cell adhesion molecule 12 [Source:MGI Symbol;Acc:MGI:1914565]
67317,1914567,RIKEN cDNA 1700022I11 gene [Source:MGI Symbol;Acc:MGI:1914567]
67320,1914570,IQ motif containing F4 [Source:MGI Symbol;Acc:MGI:1914570]
67323,1914573,RIKEN cDNA 1700042G07 gene [Source:MGI Symbol;Acc:MGI:1914573]
67326,1914576,RIKEN cDNA 1700037H04 gene [Source:MGI Symbol;Acc:MGI:1914576]
67328,1914578,lysozyme-like 1 [Source:MGI Symbol;Acc:MGI:1914578]
67331,1914581,ATPase class I type 8B member 3 [Source:MGI Symbol;Acc:MGI:1914581]
67332,1914582,small nuclear ribonucleoprotein D3 [Source:MGI Symbol;Acc:MGI:1914582]
67333,1914583,serine/threonine kinase 35 [Source:MGI Symbol;Acc:MGI:1914583]
67334,1914584,huntingtin interacting protein M [Source:MGI Symbol;Acc:MGI:1914584]
67337,1914587,cleavage stimulation factor 3 pre-RNA subunit 1 [Source:MGI Symbol;Acc:MGI:1914587]
67338,1914588,ring finger and FYVE like domain containing protein [Source:MGI Symbol;Acc:MGI:1914588]
67341,1914591,achaete-scute complex homolog 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:1914591]
67343,1914593,testis expressed 43 [Source:MGI Symbol;Acc:MGI:1914593]
67344,1914594,Tctex1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914594]
67345,1914595,hect domain and RLD 4 [Source:MGI Symbol;Acc:MGI:1914595]
208846,1914596,dishevelled associated activator of morphogenesis 1 [Source:MGI Symbol;Acc:MGI:1914596]
106572,1914603,RAB31 member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914603]
214048,1914604,La ribonucleoprotein domain family member 1B [Source:MGI Symbol;Acc:MGI:1914604]
102632135,1914604,La ribonucleoprotein domain family member 1B [Source:MGI Symbol;Acc:MGI:1914604]
67356,1914606,transmembrane and coiled-coil domains 5 [Source:MGI Symbol;Acc:MGI:1914606]
67358,1914608,RIKEN cDNA 1700093K21 gene [Source:MGI Symbol;Acc:MGI:1914608]
240411,1914609,lipoxygenase homology domains 1 [Source:MGI Symbol;Acc:MGI:1914609]
67365,1914615,haloacid dehalogenase-like hydrolase domain containing 1A [Source:MGI Symbol;Acc:MGI:1914615]
67366,1914616,transmembrane emp24 protein transport domain containing [Source:MGI Symbol;Acc:MGI:1914616]
67367,1914617,PAX3 and PAX7 binding protein 1 [Source:MGI Symbol;Acc:MGI:1914617]
330577,1914618,stablizer of axonemal microtubules 2 [Source:MGI Symbol;Acc:MGI:1914618]
67369,1914619,glutaminyl-peptide cyclotransferase-like [Source:MGI Symbol;Acc:MGI:1914619]
67370,1914620,zinc finger protein 606 [Source:MGI Symbol;Acc:MGI:1914620]
67371,1914621,general transcription factor IIIC polypeptide 6 alpha [Source:MGI Symbol;Acc:MGI:1914621]
67373,1914623,RIKEN cDNA 2210010C04 gene [Source:MGI Symbol;Acc:MGI:1914623]
67375,1914625,quinolinate phosphoribosyltransferase [Source:MGI Symbol;Acc:MGI:1914625]
67379,1914629,death effector domain-containing DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1914629]
67381,1914631,mediator complex subunit 4 [Source:MGI Symbol;Acc:MGI:1914631]
67382,1914632,bromodomain containing 3 [Source:MGI Symbol;Acc:MGI:1914632]
67383,1914633,RIKEN cDNA 2410127L17 gene [Source:MGI Symbol;Acc:MGI:1914633]
67384,1914634,BCL2-associated athanogene 4 [Source:MGI Symbol;Acc:MGI:1914634]
319370,1914635,UBA-like domain containing 2 [Source:MGI Symbol;Acc:MGI:1914635]
67387,1914637,unc-50 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1914637]
67388,1914638,RIKEN cDNA 1110008F13 gene [Source:MGI Symbol;Acc:MGI:1914638]
67389,1914639,family with sequence similarity 132 member A [Source:MGI Symbol;Acc:MGI:1914639]
67390,1914640,RNA methyltransferase like 1 [Source:MGI Symbol;Acc:MGI:1914640]
67391,1914641,FUN14 domain containing 2 [Source:MGI Symbol;Acc:MGI:1914641]
67392,1914642,RIKEN cDNA 4833420G17 gene [Source:MGI Symbol;Acc:MGI:1914642]
67393,1914643,CXXC finger 5 [Source:MGI Symbol;Acc:MGI:1914643]
67397,1914647,endoplasmic reticulum protein 29 [Source:MGI Symbol;Acc:MGI:1914647]
67398,1914648,signal recognition particle receptor (docking protein) [Source:MGI Symbol;Acc:MGI:1914648]
67399,1914649,PDZ and LIM domain 7 [Source:MGI Symbol;Acc:MGI:1914649]
67402,1914652,thioredoxin domain containing 8 [Source:MGI Symbol;Acc:MGI:1914652]
67407,1914657,cylicin basic protein of sperm head cytoskeleton 1 [Source:MGI Symbol;Acc:MGI:1914657]
383348,1914659,potassium channel tetramerisation domain containing 16 [Source:MGI Symbol;Acc:MGI:1914659]
67410,1914660,RIKEN cDNA 4930449I24 gene [Source:MGI Symbol;Acc:MGI:1914660]
73447,1914661,WD repeat domain 13 [Source:MGI Symbol;Acc:MGI:1914661]
67412,1914662,SOGA family member 3 [Source:MGI Symbol;Acc:MGI:1914662]
67414,1914664,mitofusin 1 [Source:MGI Symbol;Acc:MGI:1914664]
77574,1914665,TRPM8 channel-associated factor 1 [Source:MGI Symbol;Acc:MGI:1914665]
67416,1914666,armadillo repeat containing X-linked 2 [Source:MGI Symbol;Acc:MGI:1914666]
67417,1914667,glutamyl-tRNA synthetase 2 (mitochondrial)(putative) [Source:MGI Symbol;Acc:MGI:1914667]
67418,1914668,peptidylprolyl isomerase (cyclophilin)-like 4 [Source:MGI Symbol;Acc:MGI:1914668]
67419,1914669,RIKEN cDNA 3632451O06 gene [Source:MGI Symbol;Acc:MGI:1914669]
67420,1914670,fatty acyl CoA reductase 1 [Source:MGI Symbol;Acc:MGI:1914670]
67422,1914672,dehydrodolichyl diphosphate synthase [Source:MGI Symbol;Acc:MGI:1914672]
231646,1914674,myosin 1H [Source:MGI Symbol;Acc:MGI:1914674]
67425,1914675,EPS8-like 1 [Source:MGI Symbol;Acc:MGI:1914675]
67426,1914676,aarF domain containing kinase 3 [Source:MGI Symbol;Acc:MGI:1914676]
67427,1914677,ribosomal protein S20 [Source:MGI Symbol;Acc:MGI:1914677]
67429,1914679,NudC domain containing 1 [Source:MGI Symbol;Acc:MGI:1914679]
67430,1914680,RIKEN cDNA 4921536K21 gene [Source:MGI Symbol;Acc:MGI:1914680]
233918,1914681,RIKEN cDNA 4933402N03 gene [Source:MGI Symbol;Acc:MGI:1914681]
67432,1914682,4-hydroxy-2-oxoglutarate aldolase 1 [Source:MGI Symbol;Acc:MGI:1914682]
67433,1914683,coiled-coil domain containing 127 [Source:MGI Symbol;Acc:MGI:1914683]
67437,1914687,signal sequence receptor gamma [Source:MGI Symbol;Acc:MGI:1914687]
54391,1914688,riboflavin kinase [Source:MGI Symbol;Acc:MGI:1914688]
67439,1914689,XPA binding protein 2 [Source:MGI Symbol;Acc:MGI:1914689]
67440,1914690,mitochondrial poly(A) polymerase [Source:MGI Symbol;Acc:MGI:1914690]
67441,1914691,isochorismatase domain containing 2b [Source:MGI Symbol;Acc:MGI:1914691]
67442,1914692,retinol saturase (all trans retinol 1314 reductase) [Source:MGI Symbol;Acc:MGI:1914692]
67443,1914693,microtubule-associated protein 1 light chain 3 beta [Source:MGI Symbol;Acc:MGI:1914693]
67444,1914694,integrin-linked kinase-associated serine/threonine phosphatase 2C [Source:MGI Symbol;Acc:MGI:1914694]
67445,1914695,C1q and tumor necrosis factor related protein 4 [Source:MGI Symbol;Acc:MGI:1914695]
67446,1914696,dual specificity phosphatase 28 [Source:MGI Symbol;Acc:MGI:1914696]
67448,1914698,plexin domain containing 2 [Source:MGI Symbol;Acc:MGI:1914698]
67451,1914701,plakophilin 2 [Source:MGI Symbol;Acc:MGI:1914701]
67452,1914702,patatin-like phospholipase domain containing 8 [Source:MGI Symbol;Acc:MGI:1914702]
67453,1914703,solute carrier family 25 member 46 [Source:MGI Symbol;Acc:MGI:1914703]
67454,1914704,IKBKB interacting protein [Source:MGI Symbol;Acc:MGI:1914704]
67455,1914705,kelch-like 13 [Source:MGI Symbol;Acc:MGI:1914705]
67456,1914706,ERGIC and golgi 2 [Source:MGI Symbol;Acc:MGI:1914706]
67457,1914707,FERM domain containing 8 [Source:MGI Symbol;Acc:MGI:1914707]
67458,1914708,endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 [Source:MGI Symbol;Acc:MGI:1914708]
67459,1914709,nuclear VCP-like [Source:MGI Symbol;Acc:MGI:1914709]
67460,1914710,24-dienoyl CoA reductase 1 mitochondrial [Source:MGI Symbol;Acc:MGI:1914710]
67463,1914713,POC5 centriolar protein homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1914713]
67464,1914714,ectonucleoside triphosphate diphosphohydrolase 4 [Source:MGI Symbol;Acc:MGI:1914714]
100862375,1914714,ectonucleoside triphosphate diphosphohydrolase 4 [Source:MGI Symbol;Acc:MGI:1914714]
67465,1914715,splicing factor 3a subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]
67466,1914716,phosducin-like [Source:MGI Symbol;Acc:MGI:1914716]
67467,1914717,GPALPP motifs containing 1 [Source:MGI Symbol;Acc:MGI:1914717]
67468,1914718,monocyte to macrophage differentiation-associated [Source:MGI Symbol;Acc:MGI:1914718]
67469,1914719,abhydrolase domain containing 5 [Source:MGI Symbol;Acc:MGI:1914719]
67470,1914720,ATP-binding cassette sub-family G (WHITE) member 8 [Source:MGI Symbol;Acc:MGI:1914720]
67471,1914721,G patch domain containing 1 [Source:MGI Symbol;Acc:MGI:1914721]
67472,1914722,mitochondrial fission regulator 1 [Source:MGI Symbol;Acc:MGI:1914722]
67473,1914723,solute carrier family 47 member 1 [Source:MGI Symbol;Acc:MGI:1914723]
67474,1914724,synaptosomal-associated protein 29 [Source:MGI Symbol;Acc:MGI:1914724]
67475,1914725,ERO1-like beta (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914725]
67477,1914727,abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]
57439,1914729,transmembrane protein 183A [Source:MGI Symbol;Acc:MGI:1914729]
67480,1914730,CWC25 spliceosome-associated protein homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914730]
56737,1914731,asparagine-linked glycosylation 2 (alpha-13-mannosyltransferase) [Source:MGI Symbol;Acc:MGI:1914731]
67483,1914733,RIKEN cDNA 1700028P14 gene [Source:MGI Symbol;Acc:MGI:1914733]
67484,1914734,endonuclease/exonuclease/phosphatase family domain containing 1 [Source:MGI Symbol;Acc:MGI:1914734]
103136,1914735,PWP1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914735]
67486,1914736,polymerase (RNA) III (DNA directed) polypeptide G [Source:MGI Symbol;Acc:MGI:1914736]
67487,1914737,DEAH (Asp-Glu-Ala-His) box polypeptide 40 [Source:MGI Symbol;Acc:MGI:1914737]
67488,1914738,calcium binding and coiled coil domain 1 [Source:MGI Symbol;Acc:MGI:1914738]
67490,1914740,UFM1 specific ligase 1 [Source:MGI Symbol;Acc:MGI:1914740]
67492,1914742,zinc finger AN1-type domain 4 [Source:MGI Symbol;Acc:MGI:1914742]
67493,1914743,methyltransferase like 16 [Source:MGI Symbol;Acc:MGI:1914743]
67495,1914745,transmembrane protein 167B [Source:MGI Symbol;Acc:MGI:1914745]
67498,1914748,potassium channel subfamily V member 1 [Source:MGI Symbol;Acc:MGI:1914748]
67500,1914750,cell division cycle and apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:1914750]
67501,1914751,coiled-coil domain containing 50 [Source:MGI Symbol;Acc:MGI:1914751]
67504,1914754,ring finger protein 151 [Source:MGI Symbol;Acc:MGI:1914754]
67505,1914755,prolactin family 7 subfamily c member 1 [Source:MGI Symbol;Acc:MGI:1914755]
67507,1914757,RIKEN cDNA 1700019N19 gene [Source:MGI Symbol;Acc:MGI:1914757]
56043,1914758,aldo-keto reductase family 1 member E1 [Source:MGI Symbol;Acc:MGI:1914758]
67509,1914759,SAYSVFN motif domain containing 1 [Source:MGI Symbol;Acc:MGI:1914759]
67510,1914760,trans-golgi network vesicle protein 23B [Source:MGI Symbol;Acc:MGI:1914760]
67511,1914761,transmembrane emp24 protein transport domain containing 9 [Source:MGI Symbol;Acc:MGI:1914761]
67512,1914762,1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase beta) [Source:MGI Symbol;Acc:MGI:1914762]
67513,1914763,RIKEN cDNA 2610002J02 gene [Source:MGI Symbol;Acc:MGI:1914763]
67515,1914765,tetratricopeptide repeat domain 33 [Source:MGI Symbol;Acc:MGI:1914765]
67516,1914766,potassium channel tetramerisation domain containing 4 [Source:MGI Symbol;Acc:MGI:1914766]
329877,1914769,DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]
67525,1914775,tripartite motif-containing 62 [Source:MGI Symbol;Acc:MGI:1914775]
67526,1914776,autophagy related 12 [Source:MGI Symbol;Acc:MGI:1914776]
67528,1914778,nudix (nucleoside diphosphate linked moiety X)-type motif 7 [Source:MGI Symbol;Acc:MGI:1914778]
67529,1914779,FGFR1 oncogene partner 2 [Source:MGI Symbol;Acc:MGI:1914779]
67530,1914780,ubiquinol-cytochrome c reductase binding protein [Source:MGI Symbol;Acc:MGI:1914780]
67532,1914782,microfibrillar-associated protein 1A [Source:MGI Symbol;Acc:MGI:1914782]
67533,1914783,PTPRF interacting protein binding protein 1 (liprin beta 1) [Source:MGI Symbol;Acc:MGI:1914783]
67534,1914784,tubulin tyrosine ligase-like family member 4 [Source:MGI Symbol;Acc:MGI:1914784]
67537,1914787,GLI pathogenesis-related 1 like 2 [Source:MGI Symbol;Acc:MGI:1914787]
67538,1914788,zinc finger SWIM-type containing 3 [Source:MGI Symbol;Acc:MGI:1914788]
319899,1914789,dedicator of cytokinesis 6 [Source:MGI Symbol;Acc:MGI:1914789]
67542,1914792,component of oligomeric golgi complex 6 [Source:MGI Symbol;Acc:MGI:1914792]
67543,1914793,poly(A) binding protein cytoplasmic 6 [Source:MGI Symbol;Acc:MGI:1914793]
67544,1914794,family with sequence similarity 120 member B [Source:MGI Symbol;Acc:MGI:1914794]
67547,1914797,solute carrier family 39 (metal ion transporter) member 8 [Source:MGI Symbol;Acc:MGI:1914797]
67549,1914799,G protein-coupled receptor 89 [Source:MGI Symbol;Acc:MGI:1914799]
67553,1914803,glutathione S-transferase C-terminal domain containing [Source:MGI Symbol;Acc:MGI:1914803]
67554,1914804,solute carrier family 25 member 30 [Source:MGI Symbol;Acc:MGI:1914804]
67555,1914805,MGAT4 family member C [Source:MGI Symbol;Acc:MGI:1914805]
67556,1914806,phosphatidylinositol glycan anchor biosynthesis class M [Source:MGI Symbol;Acc:MGI:1914806]
67557,1914807,La ribonucleoprotein domain family member 6 [Source:MGI Symbol;Acc:MGI:1914807]
67561,1914811,WD repeat domain 48 [Source:MGI Symbol;Acc:MGI:1914811]
67563,1914813,nuclear prelamin A recognition factor-like [Source:MGI Symbol;Acc:MGI:1914813]
67564,1914814,transmembrane protein 35 [Source:MGI Symbol;Acc:MGI:1914814]
107022,1914815,GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815]
109346,1914816,ankyrin repeat domain 39 [Source:MGI Symbol;Acc:MGI:1914816]
67568,1914818,Morf4 family associated protein 1 [Source:MGI Symbol;Acc:MGI:1914818]
67569,1914819,MGAT4 family member C [Source:MGI Symbol;Acc:MGI:1914819]
328133,1914820,solute carrier family 39 (zinc transporter) member 9 [Source:MGI Symbol;Acc:MGI:1914820]
67573,1914823,lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823]
67574,1914824,asparagine-linked glycosylation 13 [Source:MGI Symbol;Acc:MGI:1914824]
67575,1914825,RIKEN cDNA 4930430A15 gene [Source:MGI Symbol;Acc:MGI:1914825]
67578,1914828,protein associated with topoisomerase II homolog 2 (yeast) [Source:MGI Symbol;Acc:MGI:1914828]
67579,1914829,cytoplasmic polyadenylation element binding protein 4 [Source:MGI Symbol;Acc:MGI:1914829]
67580,1914830,leucine rich repeat containing 18 [Source:MGI Symbol;Acc:MGI:1914830]
67581,1914831,TBC1 domain family member 23 [Source:MGI Symbol;Acc:MGI:1914831]
67582,1914832,solute carrier family 25 (mitochondrial carrier phosphate carrier) member 26 [Source:MGI Symbol;Acc:MGI:1914832]
67586,1914836,UBX domain protein 11 [Source:MGI Symbol;Acc:MGI:1914836]
67588,1914838,ring finger protein 41 [Source:MGI Symbol;Acc:MGI:1914838]
67590,1914840,tectonic family member 3 [Source:MGI Symbol;Acc:MGI:1914840]
67591,1914841,ubiquitin-like 4B [Source:MGI Symbol;Acc:MGI:1914841]
67592,1914842,RIKEN cDNA 4930524B15 gene [Source:MGI Symbol;Acc:MGI:1914842]
67593,1914843,RIKEN cDNA 4930519G04 gene [Source:MGI Symbol;Acc:MGI:1914843]
67596,1914846,thymocyte expressed positive selection associated 1 [Source:MGI Symbol;Acc:MGI:1914846]
56207,1914848,ubiquitin carboxyl-terminal esterase L5 [Source:MGI Symbol;Acc:MGI:1914848]
67602,1914852,NECAP endocytosis associated 1 [Source:MGI Symbol;Acc:MGI:1914852]
67603,1914853,dual specificity phosphatase 6 [Source:MGI Symbol;Acc:MGI:1914853]
67604,1914854,golgi to ER traffic protein 4 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914854]
67605,1914855,AKT1 substrate 1 (proline-rich) [Source:MGI Symbol;Acc:MGI:1914855]
67606,1914856,fin bud initiation factor homolog (zebrafish) [Source:MGI Symbol;Acc:MGI:1914856]
67607,1914857,zinc finger protein 788 [Source:MGI Symbol;Acc:MGI:1914857]
67608,1914858,nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
67609,1914859,RIKEN cDNA 4930453N24 gene [Source:MGI Symbol;Acc:MGI:1914859]
67610,1914860,ring finger and SPRY domain containing 1 [Source:MGI Symbol;Acc:MGI:1914860]
102209,1914861,small nuclear RNA activating complex polypeptide 2 [Source:MGI Symbol;Acc:MGI:1914861]
59052,1914862,methyltransferase like 9 [Source:MGI Symbol;Acc:MGI:1914862]
108664,1914864,ATPase H+ transporting lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]
67615,1914865,ubiquitin-conjugating enzyme E2R 2 [Source:MGI Symbol;Acc:MGI:1914865]
67618,1914868,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:MGI Symbol;Acc:MGI:1914868]
67619,1914869,NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914869]
67620,1914870,Lrp2 binding protein [Source:MGI Symbol;Acc:MGI:1914870]
67621,1914871,BEN domain containing 5 [Source:MGI Symbol;Acc:MGI:1914871]
67622,1914872,matrix-remodelling associated 7 [Source:MGI Symbol;Acc:MGI:1914872]
67623,1914873,transmembrane 7 superfamily member 3 [Source:MGI Symbol;Acc:MGI:1914873]
99543,1914877,olfactomedin-like 3 [Source:MGI Symbol;Acc:MGI:1914877]
67628,1914878,acidic (leucine-rich) nuclear phosphoprotein 32 family member B [Source:MGI Symbol;Acc:MGI:1914878]
67629,1914879,SPC24 NDC80 kinetochore complex component homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914879]
67630,1914880,sterile alpha motif domain containing 8 [Source:MGI Symbol;Acc:MGI:1914880]
67634,1914884,ferritin mitochondrial [Source:MGI Symbol;Acc:MGI:1914884]
67636,1914886,LYR motif containing 5 [Source:MGI Symbol;Acc:MGI:1914886]
67645,1914895,armadillo repeat containing 12 [Source:MGI Symbol;Acc:MGI:1914895]
67646,1914896,RIKEN cDNA 4930522H14 gene [Source:MGI Symbol;Acc:MGI:1914896]
67647,1914897,RIKEN cDNA 4930523C07 gene [Source:MGI Symbol;Acc:MGI:1914897]
67652,1914902,sperm acrosome associated 1 [Source:MGI Symbol;Acc:MGI:1914902]
67653,1914903,RIKEN cDNA 4930544G11 gene [Source:MGI Symbol;Acc:MGI:1914903]
67656,1914906,RIKEN cDNA 4930548H24 gene [Source:MGI Symbol;Acc:MGI:1914906]
67657,1914907,RAB member RAS oncogene family-like 3 [Source:MGI Symbol;Acc:MGI:1914907]
67663,1914913,RIKEN cDNA 4930549C01 gene [Source:MGI Symbol;Acc:MGI:1914913]
67664,1914914,ring finger protein 125 [Source:MGI Symbol;Acc:MGI:1914914]
67665,1914915,dynactin 4 [Source:MGI Symbol;Acc:MGI:1914915]
67666,1914916,hyaluronan and proteoglycan link protein 3 [Source:MGI Symbol;Acc:MGI:1914916]
67667,1914917,alkB alkylation repair homolog 8 (E. coli) [Source:MGI Symbol;Acc:MGI:1914917]
67671,1914921,ribosomal protein L38 [Source:MGI Symbol;Acc:MGI:1914921]
67673,1914923,transcription elongation factor B (SIII) polypeptide 2 [Source:MGI Symbol;Acc:MGI:1914923]
67674,1914924,tRNA methyltransferase 11-2 [Source:MGI Symbol;Acc:MGI:1914924]
67675,1914925,cutA divalent cation tolerance homolog (E. coli) [Source:MGI Symbol;Acc:MGI:1914925]
67676,1914926,ribonuclease P 21 subunit [Source:MGI Symbol;Acc:MGI:1914926]
67678,1914928,LSM3 homolog U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914928]
67680,1914930,succinate dehydrogenase complex subunit B iron sulfur (Ip) [Source:MGI Symbol;Acc:MGI:1914930]
67681,1914931,mitochondrial ribosomal protein L18 [Source:MGI Symbol;Acc:MGI:1914931]
67683,1914933,polysaccharide biosynthesis domain containing 1 [Source:MGI Symbol;Acc:MGI:1914933]
67684,1914934,LUC7-like 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914934]
67685,1914935,dyslexia susceptibility 1 candidate 1 homolog (human) [Source:MGI Symbol;Acc:MGI:1914935]
67687,1914937,RIKEN cDNA 1700011L22 gene [Source:MGI Symbol;Acc:MGI:1914937]
67689,1914939,aldehyde dehydrogenase 3 family member B1 [Source:MGI Symbol;Acc:MGI:1914939]
67690,1914940,protease serine 37 [Source:MGI Symbol;Acc:MGI:1914940]
67693,1914943,huntingtin interacting protein K [Source:MGI Symbol;Acc:MGI:1914943]
67694,1914944,intraflagellar transport 74 [Source:MGI Symbol;Acc:MGI:1914944]
67695,1914945,oligosaccharyltransferase 4 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914945]
102632739,1914945,oligosaccharyltransferase 4 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914945]
102060,1914947,growth arrest and DNA-damage-inducible gamma interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914947]
67698,1914948,family with sequence similarity 174 member A [Source:MGI Symbol;Acc:MGI:1914948]
67701,1914951,WAP four-disulfide core domain 2 [Source:MGI Symbol;Acc:MGI:1914951]
67703,1914953,kin of IRRE like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:1914953]
67704,1914954,RIKEN cDNA 1810037I17 gene [Source:MGI Symbol;Acc:MGI:1914954]
100039078,1914954,RIKEN cDNA 1810037I17 gene [Source:MGI Symbol;Acc:MGI:1914954]
67707,1914957,mitochondrial ribosomal protein L24 [Source:MGI Symbol;Acc:MGI:1914957]
67708,1914958,pecanex-like 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:1914958]
67709,1914959,regenerating islet-derived family member 4 [Source:MGI Symbol;Acc:MGI:1914959]
67710,1914960,polymerase (RNA) II (DNA directed) polypeptide G [Source:MGI Symbol;Acc:MGI:1914960]
67711,1914961,non-SMC element 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914961]
67712,1914962,solute carrier family 25 member 37 [Source:MGI Symbol;Acc:MGI:1914962]
67713,1914963,DnaJ (Hsp40) homolog subfamily C member 19 [Source:MGI Symbol;Acc:MGI:1914963]
100503724,1914963,DnaJ (Hsp40) homolog subfamily C member 19 [Source:MGI Symbol;Acc:MGI:1914963]
67715,1914965,RIKEN cDNA 2010106E10 gene [Source:MGI Symbol;Acc:MGI:1914965]
67717,1914967,lipase gastric [Source:MGI Symbol;Acc:MGI:1914967]
67718,1914968,late cornified envelope 1H [Source:MGI Symbol;Acc:MGI:1914968]
67719,1914969,RIKEN cDNA 2310057J18 gene [Source:MGI Symbol;Acc:MGI:1914969]
382423,1914971,ataxin 7-like 3B [Source:MGI Symbol;Acc:MGI:1914971]
67722,1914972,actin-like 11 [Source:MGI Symbol;Acc:MGI:1914972]
67724,1914974,processing of precursor 1 ribonuclease P/MRP family (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914974]
67725,1914975,nudix (nucleoside diphosphate linked moiety X)-type motif 13 [Source:MGI Symbol;Acc:MGI:1914975]
